SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001001,固定资产,30102000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001004,无形资产,7702000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001005,商誉,22586000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001009,递延税项资产,2193000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001011,长期应收款,13684000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001017,长期投资,41721000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001030,中长期存款,98535000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,42408000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004001999,非流动资产合计,258931000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002003,应收帐款,10104000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002006,应收关联方款项,790000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002008,短期投资,102608000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,11697000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002010,现金及等价物,24832000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002997,流动资产其他项目,18818000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004002999,流动资产合计,168849000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004009999,总资产,427780000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011001,应付帐款,41443000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011002,应付票据,8268000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),1794000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),3303000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011007,递延收入(流动),684000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011009,预收款项,14624000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011010,短期贷款,10837000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004011999,流动负债合计,80953000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004013999,净流动资产,87896000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,346827000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020001,长期贷款,15596000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020003,递延税项负债,3870000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020004,应付关联方款项(非流动),56000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),4973000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),816000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020007,可转换票据及债券,8351000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020010,其他非流动负债,1557000000.0,2024-12-31 00:00:00
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),27996000000.0,2024-12-31 00:00:00
