SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001001,除税前溢利(业务利润),24175000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001004,减:投资收益,1907000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001006,加:减值及拨备,1704000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001008,减:出售资产之溢利,22000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001009,加:折旧及摊销,20521000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001011,加:购股权开支,4784000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001997,加:经营调整其他项目,-509000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,001999,营运资金变动前经营溢利,48746000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002002,应收帐款减少,327000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002003,应收关联方款项(增加)减少,-220000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),2298000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002005,应付关联方款项增加(减少),92000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002006,营运资本变动其他项目,-30522000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),103000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002009,递延收入(增加)减少,410000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,002999,经营产生现金,21234000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,003999,经营业务现金净额,21234000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005003,存款减少(增加),224188000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005005,购建固定资产,8134000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005007,购建无形资产及其他资产,125000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005010,收回投资所得现金,81063000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005011,投资支付现金,305730000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005997,投资业务其他项目,183000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,005999,投资业务现金净额,-8555000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,006999,融资前现金净额,12679000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007001,新增借款,23574000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007002,偿还借款,28197000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007006,发行股份,88000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007008,回购股份,6324000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007009,赎回债券,2914000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007013,购买子公司少数股权而支付的现金,210000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007997,融资业务其他项目,224000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,007999,融资业务现金净额,-13759000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,008001,汇率影响,95000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,010999,现金净额,-985000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011001,期初现金,37574000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,011999,期末现金,36589000000
09888.HK,09888,百度集团-SW,10088143,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,013999,非运算项目,105093000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001001,除税前溢利(业务利润),21549000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001004,减:投资收益,-34000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001006,加:减值及拨备,1603000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001008,减:出售资产之溢利,193000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001009,加:折旧及摊销,21457000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001011,加:购股权开支,6345000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001997,加:经营调整其他项目,-1113000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,001999,营运资金变动前经营溢利,49682000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002002,应收帐款减少,216000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002003,应收关联方款项(增加)减少,-196000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002004,应付帐款及应计费用增加(减少),-858000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002005,应付关联方款项增加(减少),-147000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002006,营运资本变动其他项目,-14000000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002007,预付款项、按金及其他应收款项减少(增加),1645000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002009,递延收入(增加)减少,273000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,002999,经营产生现金,36615000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,003999,经营业务现金净额,36615000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005003,存款减少(增加),152877000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005005,购建固定资产,11190000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005007,购建无形资产及其他资产,105000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005008,出售附属公司,15000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005009,收购附属公司,115000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005010,收回投资所得现金,9039000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005011,投资支付现金,203391000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005997,投资业务其他项目,2473000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,005999,投资业务现金净额,-50397000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,006999,融资前现金净额,-13782000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007001,新增借款,16058000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007002,偿还借款,21830000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007006,发行股份,3564000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007008,回购股份,4764000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007009,赎回债券,11736000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007010,发行债券,4415000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007013,购买子公司少数股权而支付的现金,-351000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007997,融资业务其他项目,-220000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,007999,融资业务现金净额,-14162000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,008001,汇率影响,282000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,010999,现金净额,-27662000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,011001,期初现金,65236000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,011999,期末现金,37574000000
09888.HK,09888,百度集团-SW,10088143,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,013999,非运算项目,104437000000
